date,dlsales,dlincome,dunrate
2008-02-01,-0.886411,0.038717,-0.1
2008-03-01,0.284661,0.033762,0.2
2008-04-01,-0.095345,-0.37201,-0.1
2008-05-01,0.938252,4.803117,0.4
2008-06-01,0.182045,-2.549514,0.2
2008-07-01,-0.361701,-1.52983,0.2
2008-08-01,-0.814804,-0.560281,0.3
2008-09-01,-1.553371,0.234038,0.0
2008-10-01,-3.646267,0.750326,0.4
2008-11-01,-4.020081,0.85739,0.3
2008-12-01,-2.352584,-0.463575,0.5
2009-01-01,1.533899,0.589853,0.5
2009-02-01,-0.42877,-0.972231,0.5
2009-03-01,-1.764074,0.006535,0.4
2009-04-01,0.522138,0.629412,0.3
2009-05-01,0.825388,1.451269,0.4
2009-06-01,1.582466,-1.831862,0.1
2009-07-01,0.433401,-0.445046,0.0
2009-08-01,1.757475,-0.195793,0.1
2009-09-01,-2.56149,0.293138,0.2
2009-10-01,1.080851,-0.306259,0.2
2009-11-01,0.811415,0.255554,-0.1
2009-12-01,0.418604,0.455425,0.0
2010-01-01,0.105336,0.045591,-0.1
2010-02-01,0.143515,0.050452,0.0
2010-03-01,2.154029,0.392169,0.1
2010-04-01,0.830895,0.861733,0.0
2010-05-01,-0.864332,0.745979,-0.3
2010-06-01,-0.098648,0.031892,-0.2
2010-07-01,0.315792,0.078889,0.0
2010-08-01,0.452354,0.295877,0.1
2010-09-01,0.852911,-0.011914,0.0
2010-10-01,1.139491,0.020649,-0.1
2010-11-01,0.90406,0.10001,0.4
2010-12-01,0.701111,0.597177,-0.5
2011-01-01,0.66495,0.468123,-0.2
2011-02-01,0.841959,0.286087,-0.1
2011-03-01,0.894012,-0.265681,0.0
2011-04-01,0.550032,-0.16808,0.1
2011-05-01,-0.084527,-0.125852,-0.1
2011-06-01,0.823967,0.405307,0.1
2011-07-01,-0.038614,0.381027,-0.1
2011-08-01,0.111274,-0.046084,0.0
2011-09-01,1.106504,-0.140727,0.0
2011-10-01,0.568057,0.07977,-0.2
2011-11-01,0.317386,-0.071946,-0.2
2011-12-01,0.146728,0.901833,-0.1
2012-01-01,0.919236,0.53352,-0.2
2012-02-01,1.22565,0.477747,0.0
2012-03-01,0.353177,0.282036,-0.1
2012-04-01,-0.413607,0.382693,0.0
2012-05-01,-0.177931,-0.030501,0.0
2012-06-01,-0.891858,-0.116751,0.0
2012-07-01,0.459113,-0.746449,0.0
2012-08-01,1.233869,-0.294283,-0.1
2012-09-01,0.79702,0.703451,-0.3
2012-10-01,-0.047034,0.678756,0.0
2012-11-01,0.555444,1.313058,-0.1
2012-12-01,0.345904,2.426079,0.2
2013-01-01,0.829524,-6.021102,0.1
2013-02-01,1.151506,-0.246304,-0.3
2013-03-01,-0.710135,0.29767,-0.2
2013-04-01,-0.491577,0.320833,0.1
2013-05-01,0.603276,0.470451,-0.1
2013-06-01,0.305427,0.011579,0.0
2013-07-01,0.573708,-0.107346,-0.2
2013-08-01,-0.140739,0.214577,-0.1
2013-09-01,0.086125,0.445435,0.0
2013-10-01,0.329908,-0.406891,0.0
2013-11-01,0.282053,0.187114,-0.3
2013-12-01,0.544133,0.155277,-0.2
2014-01-01,-0.786816,0.462861,-0.1
2014-02-01,1.249568,0.522354,0.1
2014-03-01,1.072608,0.545361,0.0
2014-04-01,1.019405,0.379765,-0.5
2014-05-01,0.166002,0.321257,0.1
2014-06-01,0.246498,0.356162,-0.2
2014-07-01,0.180971,0.197404,0.1
2014-08-01,0.76793,0.440508,-0.1
2014-09-01,-0.276241,0.300013,-0.2
2014-10-01,0.397638,0.476385,-0.2
2014-11-01,0.279764,0.54241,0.1
2014-12-01,-0.695767,0.692672,-0.2
2015-01-01,-0.443193,0.571289,0.1
2015-02-01,-0.25464,0.363891,-0.2
2015-03-01,1.516818,-0.265372,-0.1
2015-04-01,0.189606,0.222035,0.0
2015-05-01,0.778375,0.17035,0.2
2015-06-01,0.019639,0.061284,-0.3
2015-07-01,0.907162,0.227504,-0.1
2015-08-01,-0.021046,0.216224,-0.1
2015-09-01,-0.449579,0.260857,-0.1
2015-10-01,-0.267256,0.176624,0.0
2015-11-01,0.366327,-0.025009,0.1
2015-12-01,0.41838,0.476232,-0.1
2016-01-01,-0.608658,0.432202,-0.2
2016-02-01,0.827349,0.100508,0.1
2016-03-01,-0.284981,0.000707,0.1
2016-04-01,0.541243,-0.206787,0.1
2016-05-01,0.277833,-0.075882,-0.3
2016-06-01,1.059931,0.066666,0.1
2016-07-01,-0.099553,0.39059,-0.1
2016-08-01,0.034899,0.117162,0.1
2016-09-01,0.688816,0.228283,0.1
2016-10-01,0.17444,0.184922,-0.1
2016-11-01,0.009915,0.267986,-0.2
2016-12-01,1.185519,0.280544,0.0
2017-01-01,1.105761,0.418303,0.0
2017-02-01,-0.027566,0.299405,-0.1
2017-03-01,-0.131471,0.411864,-0.2
2017-04-01,0.344906,0.227699,0.0
2017-05-01,-0.543518,0.696431,0.0
2017-06-01,0.512134,0.054739,-0.1
2017-07-01,-0.008815,0.283481,0.0
2017-08-01,0.199977,0.123387,0.1
2017-09-01,2.06093,0.188536,-0.1
2017-10-01,0.080476,0.289259,-0.1
2017-11-01,1.011862,0.152441,0.0
2017-12-01,0.546793,0.181271,-0.1
2018-01-01,-0.450156,0.59762,-0.1
2018-02-01,0.542135,0.231484,0.1
2018-03-01,0.01632,0.359247,-0.1
2018-04-01,0.009088,0.21613,0.0
2018-05-01,1.599437,0.336604,-0.2
2018-06-01,-0.352682,0.407594,0.2
2018-07-01,0.592658,0.431627,-0.2
2018-08-01,0.061424,0.354334,0.0
2018-09-01,-0.393522,-0.007219,-0.1
2018-10-01,0.99381,0.239909,0.1
2018-11-01,0.489918,0.268722,0.0
2018-12-01,-1.971992,1.241349,0.1
2019-01-01,0.27094,0.191993,0.1
2019-02-01,0.266954,0.155,-0.2
2019-03-01,1.52186,0.039194,0.0
2019-04-01,0.010214,-0.207712,-0.1
2019-05-01,1.075219,-0.011588,-0.1
2019-06-01,0.100991,0.191031,0.0
2019-07-01,0.757145,0.123942,0.1
2019-08-01,0.679295,0.530634,-0.1
2019-09-01,-0.641784,0.211723,-0.1
2019-10-01,0.267862,0.131145,0.1
2019-11-01,0.696096,0.309989,0.0
2019-12-01,0.320558,-0.528447,0.0
2020-01-01,-0.14491,1.008681,0.0
2020-02-01,0.040953,0.362284,-0.1
2020-03-01,-9.564711,-1.253078,0.9
2020-04-01,-15.512911,13.74142,10.4
2020-05-01,17.651837,-5.155831,-1.6
2020-06-01,7.949898,-0.350115,-2.2
2020-07-01,1.583039,0.891604,-0.8
2020-08-01,0.838385,-3.917537,-1.8
2020-09-01,1.971451,0.552816,-0.6
2020-10-01,-0.40503,-0.361969,-0.9
2020-11-01,-0.964171,-1.164011,-0.2
2020-12-01,0.859128,0.097012,0.0
2021-01-01,3.768421,10.395079,-0.3
2021-02-01,-2.597506,-8.584484,-0.2
2021-03-01,10.229447,20.615299,-0.1
2021-04-01,0.887398,-16.374087,0.0
2021-05-01,-0.605976,-2.902097,-0.3
2021-06-01,1.095611,-0.499401,0.1
2021-07-01,-1.669717,0.658236,-0.5
2021-08-01,0.615565,-0.190159,-0.3
2021-09-01,0.681041,-1.121109,-0.4
2021-10-01,1.449574,0.029885,-0.2
2021-11-01,1.013482,-0.281868,-0.4
2021-12-01,-0.793056,-0.454093,-0.2
2022-01-01,1.849272,-2.466537,0.1
2022-02-01,1.038438,0.009255,-0.1
2022-03-01,2.005454,-0.497298,-0.2
2022-04-01,1.398262,-0.010542,0.0
2022-05-01,-0.052574,-0.139628,-0.1
2022-06-01,0.945134,-0.249332,0.0
2022-07-01,-0.990154,1.283524,-0.1
2022-08-01,0.607054,0.593794,0.1
2022-09-01,-0.258333,0.344606,-0.1
2022-10-01,1.024717,0.319148,0.1
2022-11-01,-1.387387,0.160102,0.0
2022-12-01,-1.173729,0.456458,-0.1
2023-01-01,4.278379,1.963324,0.0
2023-02-01,-1.198028,0.538563,0.1
2023-03-01,-1.05907,0.590083,-0.1
2023-04-01,0.812095,0.213238,-0.1
2023-05-01,0.506995,0.357684,0.2
2023-06-01,0.475938,0.11391,0.0
2023-07-01,0.192838,0.199032,-0.1
2023-08-01,0.928865,0.143081,0.2
2023-09-01,0.67649,0.039933,0.0
2023-10-01,-0.473266,0.341387,0.2
2023-11-01,-0.119579,0.493553,-0.2
2023-12-01,0.138378,0.312815,0.1
2024-01-01,-0.851817,0.534558,-0.1
2024-02-01,0.706435,0.118277,0.2
2024-03-01,0.343939,0.118138,0.0
2024-04-01,-0.005672,0.122534,0.0
2024-05-01,0.749365,0.422609,0.0
2024-06-01,-0.046924,0.213172,0.2
2024-07-01,0.918007,-0.044514,0.1
2024-08-01,-0.25733,0.054654,0.0
2024-09-01,0.859376,0.095713,-0.1
2024-10-01,0.741849,0.228216,0.0
2024-11-01,0.501782,0.229377,0.1
2024-12-01,0.757394,0.092387,-0.1
