date,sp500,wti,eurusd
2019-08-05,-3.023016,-1.885822,0.762028
2019-08-06,1.293301,-1.903411,-0.008931
2019-08-07,0.07666,-4.69821,0.356634
2019-08-08,1.858843,2.814915,-0.231667
2019-08-09,-0.663853,3.383184,0.10699
2019-08-12,-1.202965,1.042152,-0.08915
2019-08-13,1.465413,3.695859,-0.267929
2019-08-14,-2.973036,-3.369002,-0.340411
2019-08-15,0.246124,-1.185388,-0.341573
2019-08-16,1.432312,0.585332,-0.135153
2019-08-19,1.203319,2.539076,0.045071
2019-08-20,-0.794625,-0.106743,-0.036056
2019-08-21,0.821301,-0.947874,0.054078
2019-08-22,-0.050621,-0.576682,-0.081129
2019-08-23,-2.628894,-2.285083,0.530648
2019-08-26,1.092319,-1.003539,-0.32345
2019-08-27,-0.320833,2.672231,-0.162118
2019-08-28,0.652414,1.390542,-0.090179
2019-08-29,1.260744,1.61882,-0.225805
2019-08-30,0.064262,-2.863987,-0.63498
2019-09-03,-0.692303,-2.128911,-0.191283
2019-09-04,1.078372,4.195658,0.518348
2019-09-05,1.292592,0.195469,0.117844
2019-09-06,0.09102,0.212804,0.036232
2019-09-09,-0.0094,2.501661,0.126708
2019-09-10,0.032227,-0.885038,-0.126708
2019-09-11,0.720366,-3.025976,-0.372001
2019-09-12,0.287497,-0.956772,0.661384
2019-09-13,-0.072462,-0.673403,0.0
2019-09-16,-0.314054,14.176077,-0.615944
2019-09-17,0.257843,-6.278623,0.516563
2019-09-18,0.034262,-1.822102,-0.01808
2019-09-19,0.001996,0.0,-0.135704
2019-09-20,-0.490761,-0.465077,-0.380953
2019-09-23,-0.009693,1.320661,-0.118209
2019-09-24,-0.845201,-2.536587,0.07276
2019-09-25,0.613968,-1.4789,-0.455623
2019-09-26,-0.243187,-0.248624,-0.100516
2019-09-27,-0.533051,-0.516981,0.036563
2019-09-30,0.503493,-3.380911,-0.33872
2019-10-01,-1.233413,-0.910026,0.247287
2019-10-02,-1.806544,-1.750303,0.173651
2019-10-03,0.794038,-0.494862,0.364598
2019-10-04,1.411674,0.817107,-0.154792
2019-10-07,-0.448836,-0.151515,0.091083
2019-10-08,-1.568317,-0.227704,-0.319154
2019-10-09,0.906335,-0.018999,0.264514
2019-10-10,0.639521,1.770291,0.363703
2019-10-11,1.087953,2.197079,0.190416
2019-10-15,0.851839,-3.625943,-0.02718
2019-10-16,-0.200155,1.148464,0.352766
2019-10-17,0.275902,0.875972,0.4864
2019-10-18,-0.392705,-0.260126,0.233351
2019-10-21,0.684811,-0.878264,-0.089686
2019-10-22,-0.357506,1.730437,-0.062828
